KUNTANRO;KUNTANIMIFI;KUNTANIMISV;KIELISYYS;LAKKAUTUSPVM
001;Ahlainen;Ahlainen;suomi;1011972
002;Aitolahti;Aitolahti;suomi;1011966
003;Akaa;Akaa;suomi;1011946
004;Alahärmä;Alahärmä;suomi;31122008
006;Alastaro;Alastaro;suomi;31122008
007;Alatornio;Nedertorneå;suomi;1011973
008;Alaveteli;Nedervetil;ruotsi;1011969
011;Angelniemi;Angelniemi;suomi;1011967
012;Anjala;Anjala;suomi;1011975
013;Antrea;Antrea;suomi;19091944
014;Anttola;Anttola;suomi;31122000
015;Artjärvi;Artsjö;suomi;31122010
017;Askainen;Villnäs;suomi;31122008
032;Bergö;Bergö;ruotsi;1011973
033;Björköby;Björköby;ruotsi;1011973
034;Bromarv;Bromarv;ruotsi - suomi;1011977
039;Degerby;Degerby;ruotsi - suomi;1011946
040;Dragsfjärd;Dragsfjärd;ruotsi - suomi;31122008
044;Elimäki;Elimäki;suomi;31122008
045;Eno;Eno;suomi;31122008
048;Eräjärvi;Eräjärvi;suomi;1011973
068;Haaga;Haga;suomi - ruotsi;1011946
070;Haapasaari;Aspö;suomi;1011974
073;Halikko;Halikko;suomi;31122008
080;Harlu;Harlu;suomi;19091944
083;Hauho;Hauho;suomi;31122008
084;Haukipudas;Haukipudas;suomi;31122012
085;Haukivuori;Haukivuori;suomi;31122006
087;Heinjoki;Heinjoki;suomi;19091944
088;Heinola;Heinola;suomi;1011997
089;Heinolan mlk;Heinola lk;suomi;1011997
093;Hiitola;Hiitola;suomi;19091944
094;Hiittinen;Hitis;ruotsi - suomi;1011969
095;Himanka;Himanka;suomi;31122009
096;Hinnerjoki;Hinnerjoki;suomi;1011970
100;Honkilahti;Honkilahti;suomi;1011970
101;Houtskari;Houtskär;ruotsi - suomi;31122008
104;Huopalahti;Hoplaks;suomi - ruotsi;1011946
107;Hyvinkään mlk;Hyvinge lk;suomi;1011969
110;Hämeenlinnan mlk;Tavastehus lk;suomi;1011948
141;Iisalmen mlk;Iisalmi lk;suomi;1011970
144;Ikaalinen;Ikaalinen;suomi;1011972
147;Impilahti;Impilahti;suomi;19091944
150;Iniö;Iniö;ruotsi - suomi;31122008
162;Jaakkima;Jaakkima;suomi;19091944
163;Jaala;Jaala;suomi;31122008
164;Jalasjärvi;Jalasjärvi;suomi;31122015
166;Jepua;Jeppo;ruotsi - suomi;1011975
168;Johannes;Johannes;suomi;19091944
173;Joutseno;Joutseno;suomi;31122008
174;Juankoski;Juankoski;suomi;31122016
175;Jurva;Jurva;suomi;31122008
180;Jyväskylän mlk;Jyväskylä lk;suomi;31122008
183;Jämsänkoski;Jämsänkoski;suomi;31122008
184;Jäppilä;Jäppilä;suomi;31122003
185;Jääski;Jääski;suomi;1011948
201;Karhula;Karhula;suomi;1011977
203;Kaarlela;Karleby;suomi - ruotsi;1011977
206;Kajaanin mlk;Kajaani lk;suomi;1011977
207;Kakskerta;Kakskerta;suomi;1011968
209;Kalanti;Kalanti;suomi;1011993
210;Kalvola;Kalvola;suomi;31122008
212;Kangaslampi;Kangaslampi;suomi;31122004
215;Kanneljärvi;Kanneljärvi;suomi;19091944
219;Karinainen;Karinainen;suomi;31122004
220;Karjaa;Karis;ruotsi - suomi;31122008
